                           1                            2                            3                            4 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days 
                       10398      1.0000000000000000E+000      9.4999999999999996E-001      4.0000000000000000E+002 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33                               34                               35                               36                               37                               38                               39                               40                               41                               42                               43                               44                               45                               46                               47                               48 
                    model_number                              age                      period_days                binary_separation                     eccentricity                          v_orb_1                          v_orb_2                    star_1_radius                    star_2_radius                             rl_1                             rl_2                            rl3_1                            rl3_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                     lg_mdot_thin                  lg_mdot_thin_L3                    lg_mdot_thick                 lg_mdot_thick_L3              mass_transfer_alpha               mass_transfer_beta              mass_transfer_delta              mass_transfer_gamma                    xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                    jdot_beta_min                    jdot_beta_max                 jdot_beta_factor                     jdot_ml_bmin                     jdot_ml_bmax 
                               3          3.6400000000000000E+005          3.9999999818796238E+002          2.8534590425859108E+002          0.0000000000000000E+000          1.7589906692528714E+001          1.8515691062894984E+001          8.9306313226276579E-001          8.4292328282396323E-001          1.0970400999381444E+002          1.0712314362214239E+002          1.4468393140787006E+002          1.4096037516118150E+002         -9.9185933921364300E-001         -9.9213126823651454E-001          9.9999998960889980E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3553072982313665E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3553072982313665E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4255485498861971E+000          7.8550251495679735E-001          6.9488091629631459E+052         -6.0041848350913254E+031         -7.5912618467322308E+026         -5.1182330755643704E+026         -3.0020288952077457E+031          5.0273389030198202E+023          0.0000000000000000E+000         -3.0020288952077457E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -3.0020288893137232E+031         -3.0020288893137232E+031 
                               6          9.9299200000000000E+005          3.9999999521758150E+002          2.8534590201510156E+002          0.0000000000000000E+000          1.7589906838502927E+001          1.8515690901164355E+001          8.8639432379555494E-001          8.3678052765585109E-001          1.0970400870129086E+002          1.0712314320690150E+002          1.4468392965287208E+002          1.4096037467168594E+002         -9.9192012822239617E-001         -9.9218861113849444E-001          9.9999997257536410E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3572276796942925E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3572276796942925E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4255485534613106E+000          7.8648366845356332E-001          6.9488090476328022E+052         -5.7444774847969252E+031         -7.4224689316086328E+026         -5.1182330079430323E+026         -2.8721760603120836E+031          4.2846638378009826E+023          0.0000000000000000E+000         -2.8721760603120836E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -2.8721760509892374E+031         -2.8721760509892374E+031 
                               9          2.0798901760000000E+006          3.9999999024121325E+002          2.8534589825652102E+002          0.0000000000000000E+000          1.7589907083057327E+001          1.8515690630213356E+001          8.8272957285570697E-001          8.3300775906187108E-001          1.0970400653589159E+002          1.0712314251123540E+002          1.4468392671267719E+002          1.4096037385161813E+002         -9.9195353387055285E-001         -9.9222383007505122E-001          9.9999994403866765E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3583791040509766E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3583791040509766E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4255485594507851E+000          7.8705515151209937E-001          6.9488088544169768E+052         -5.5941805501499296E+031         -7.3307856312925511E+026         -5.1182328940370341E+026         -2.7970280524054369E+031          4.4846197147765492E+023          0.0000000000000000E+000         -2.7970280524054369E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -2.7970280371275205E+031         -2.7970280371275205E+031 
                              12          3.9580502241279995E+006          3.9999998178797767E+002          2.8534589187191744E+002          0.0000000000000000E+000          1.7589907498475263E+001          1.8515690169956876E+001          8.8229184330829225E-001          8.3225972337933063E-001          1.0970400285758566E+002          1.0712314132952358E+002          1.4468392171824669E+002          1.4096037245858750E+002         -9.9195752369716483E-001         -9.9223081294060256E-001          9.9999989556419056E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3589418365474247E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3589418365474247E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4255485696249355E+000          7.8754633744139468E-001          6.9488085262066160E+052         -5.5221638002491824E+031         -7.3198854618198939E+026         -5.1182326997220793E+026         -2.7610197303490568E+031          4.1630547377563256E+023          0.0000000000000000E+000         -2.7610197303490568E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -2.7610197046241706E+031         -2.7610197046241706E+031 
                              15          7.2035107872931818E+006          3.9999996718992645E+002          2.8534588084622982E+002          0.0000000000000000E+000          1.7589908215867815E+001          1.8515689375132322E+001          8.8532734148427150E-001          8.3569682132360168E-001          1.0970399650545386E+002          1.0712313928880262E+002          1.4468391309327617E+002          1.4096037005293570E+002         -9.9192985333546846E-001         -9.9219872730698655E-001          9.9999981185279252E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3587362487820730E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3587362487820730E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4255485871948501E+000          7.8782343814588873E-001          6.9488079594144813E+052         -5.5483672301190305E+031         -7.3956972750775370E+026         -5.1182323623057129E+026         -2.7741210663506494E+031          4.1878641163649018E+023          0.0000000000000000E+000         -2.7741210663506494E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -2.7741210214751717E+031         -2.7741210214751717E+031 
                              18          1.2811666640442615E+007          3.9999994161608697E+002          2.8534586153069171E+002          0.0000000000000000E+000          1.7589909472644479E+001          1.8515687982704666E+001          8.8899160442637459E-001          8.3893031112104144E-001          1.0970398537736274E+002          1.0712313571373221E+002          1.4468389798347346E+002          1.4096036583855545E+002         -9.9189645115108260E-001         -9.9216854225250706E-001          9.9999966520151473E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3580444559057700E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3580444559057700E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4255486179750161E+000          7.8793604788128191E-001          6.9488069664698253E+052         -5.6374549256872421E+031         -7.4879076572461014E+026         -5.1182317692849322E+026         -2.8186644543350111E+031          4.4377045070052858E+023          0.0000000000000000E+000         -2.8186644543350111E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -2.8186643742799771E+031         -2.8186643742799771E+031 
                              21          2.2502559954684839E+007          3.9999989678635018E+002          2.8534582767145702E+002          0.0000000000000000E+000          1.7589911675715939E+001          1.8515685541842661E+001          8.9132630896368403E-001          8.4053765148216841E-001          1.0970396587033781E+002          1.0712312944680298E+002          1.4468387149669331E+002          1.4096035845094667E+002         -9.9187516784929020E-001         -9.9215353718825428E-001          9.9999940812861343E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3574775797099054E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3574775797099054E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4255486719312300E+000          7.8814809700490140E-001          6.9488052258839158E+052         -5.7115217209091323E+031         -7.5470580017820901E+026         -5.1182307307453199E+026         -2.8556975572114973E+031          4.6401187435148393E+023          0.0000000000000000E+000         -2.8556975572114973E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -2.8556974152174974E+031         -2.8556974152174974E+031 
                              24          3.9248423601695396E+007          3.9999981841429377E+002          2.8534576847821512E+002          0.0000000000000000E+000          1.7589915527160603E+001          1.8515681274689793E+001          8.9327288828667872E-001          8.4250098490245218E-001          1.0970393176785562E+002          1.0712311849085724E+002          1.4468382519209499E+002          1.4096034553581009E+002         -9.9185742138962774E-001         -9.9213520856401916E-001          9.9999895870987709E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3569766294010135E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3569766294010135E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4255487662583286E+000          7.8836755020960936E-001          6.9488021829650696E+052         -5.7777850901508190E+031         -7.5966127191511804E+026         -5.1182289158779230E+026         -2.8888289946550272E+031          4.7575586160037733E+023          0.0000000000000000E+000         -2.8888289946550272E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -2.8888287435629409E+031         -2.8888287435629409E+031 
                              27          6.8185275983729631E+007          3.9999968136724783E+002          2.8534566496868950E+002          0.0000000000000000E+000          1.7589922262072172E+001          1.8515673812847766E+001          8.9520322505353289E-001          8.4437709068976219E-001          1.0970387213384122E+002          1.0712309933249183E+002          1.4468374422059631E+002          1.4096032295145477E+002         -9.9183982107795288E-001         -9.9211769360715596E-001          9.9999817282496672E-001          9.4999999999999996E-001         -9.8999999999999986E+001         -1.3564592714083036E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -1.3564592714083036E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          1.4255489312053495E+000          7.8844440737966193E-001          6.9487968619039012E+052         -5.8470269988756339E+031         -7.6459679123681577E+026         -5.1182257419622559E+026         -2.9234497029690931E+031          4.8999095250352085E+023          0.0000000000000000E+000         -2.9234497029690931E+031                                1                                0          0.0000000000000000E+000          0.0000000000000000E+000         -9.9999999999999997E+098         -2.9234492586197664E+031         -2.9234492586197664E+031 
