                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups                          runtime_minutes 
                                       1                  1.0000000000000000E+005                  9.9999999707504350E-001                 -1.3533880570816246E+001                  5.0000000000000000E+000                                     1534                  7.9314940120302768E-002                  7.8951006119839962E-002                  7.8129681502225878E-008                  9.9999999996556255E-001                  9.7332941781893911E-001                  7.8951006119839962E-002                  7.8129681502225878E-008                  9.9999999996556255E-001                  9.7332941781893911E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5381724670514704E-001                 -4.7257571662877780E+001                 -9.8999999999999986E+001                 -1.5381724670514746E-001                  3.7481696665095052E+000                  7.1602175441694205E-001                 -1.4507378260875056E-001                 -4.5617387870760105E-002                  4.5291241278843524E+000                  3.3816147402220864E+004                  1.5901356692720386E-004                  2.1640032532464387E-001                  7.1353325904813456E+000                  1.8873950367904693E+000                  1.7151949790909697E+001                  6.2027395465476898E-001                  8.4974058708066080E-001                  6.9947231740711480E-001                  2.8036827509560758E-001                  2.9097010734130354E-003                  9.3376437300084908E-003                  3.4416106108119903E-003                  9.3376729792513137E-003                  6.9990700545368001E-001                  2.8001425338482611E-001                 -2.1648292495115123E-001                 -1.0255279587092851E+000                 -4.7257571662877780E+001                  1.2506657513745791E-010                                        0                                        0                  1.0383333333333333E-002 
                                       3                  3.6400000000000000E+005                  9.9999998960889980E-001                 -1.3553072982313665E+001                  5.1583624920952493E+000                                      821                  7.1986336225924402E-002                  7.1753623150971890E-002                  7.8129681724270483E-008                  9.9999999996400002E-001                  9.7134462865393256E-001                  7.1753623150971890E-002                  7.8129681724270483E-008                  9.9999999996400002E-001                  9.7134462865393256E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5510254201385174E-001                 -4.7266483277724426E+001                 -9.8999999999999986E+001                 -1.5510254201385193E-001                  3.7464258189495978E+000                  6.9334585724690079E-001                 -1.5905007502022164E-001                 -4.9117838956680426E-002                  4.5361250268136883E+000                  3.4365686727560693E+004                  1.6045034622730762E-004                  2.1573166413002348E-001                  7.1352242442117664E+000                  1.8872303452450256E+000                  1.7151670784674856E+001                  6.2028134513099120E-001                  8.4973313322281685E-001                  6.9945745225950928E-001                  2.8037978506884892E-001                  2.8888028320828369E-003                  9.3376424371317789E-003                  3.4416106108119890E-003                  9.3376729792512964E-003                  6.9990467760310704E-001                  2.8001555257834604E-001                 -2.1700359485175885E-001                 -1.0317717850378236E+000                 -4.7266483277724426E+001                 -3.4515549750421144E-011                                        0                                        0                  1.9416666666666669E-002 
                                       6                  9.9299199999999988E+005                  9.9999997257536410E-001                 -1.3572276796942925E+001                  5.3959062302381238E+000                                      821                  6.9808274198194201E-002                  6.9621172087610983E-002                  7.8129682945515810E-008                  9.9999999996400002E-001                  9.6983040604244086E-001                  6.9621172087610983E-002                  7.8129682945515810E-008                  9.9999999996400002E-001                  9.6983040604244086E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5850590714607132E-001                 -4.7293095329601513E+001                 -9.8999999999999986E+001                 -1.5850590714607146E-001                  3.7448993931885730E+000                  6.7349415725302764E-001                 -1.7166616754868058E-001                 -5.2373033698860323E-002                  4.5426354089004777E+000                  3.4884733447099075E+004                  1.6180178298540933E-004                  2.1511631565240999E-001                  7.1347307370988942E+000                  1.8867047020804519E+000                  1.7150637805794254E+001                  6.2029898945380468E-001                  8.4971541873253753E-001                  6.9942205001503455E-001                  2.8040709426059723E-001                  2.8397609670633805E-003                  9.3376393715891657E-003                  3.4416106108119886E-003                  9.3376729792512981E-003                  6.9989918383670624E-001                  2.8001863345263195E-001                 -2.1840918314373481E-001                 -1.0484470621382276E+000                 -4.7293095329601513E+001                 -1.2734433940522475E-012                                        0                                        0                  2.9333333333333333E-002 
                                       9                  2.0798901759999995E+006                  9.9999994403866765E-001                 -1.3583791040509766E+001                  5.6334499683809982E+000                                      818                  6.5571352345284412E-002                  6.4712355788057008E-002                  7.8129685054939557E-008                  9.9999999996400002E-001                  9.6894378565712691E-001                  6.4712355788057008E-002                  7.8129685054939557E-008                  9.9999999996400002E-001                  9.6894378565712691E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6404019513871732E-001                 -4.7338274483775727E+001                 -9.8999999999999986E+001                 -1.6404019513871759E-001                  3.7438664539462825E+000                  6.6161218589424087E-001                 -1.7939650433536494E-001                 -5.4172323607621080E-002                  4.5462339763246691E+000                  3.5174989488502906E+004                  1.6243475657505877E-004                  2.1461976367110813E-001                  7.1338800383668364E+000                  1.8861983546905883E+000                  1.7149260465675155E+001                  6.2032967149613716E-001                  8.4968476750330713E-001                  6.9936076929708690E-001                  2.8045457988986416E-001                  2.7565951249672060E-003                  9.3376340639010971E-003                  3.4416106108119942E-003                  9.3376729792513120E-003                  6.9988984606527826E-001                  2.8002395949544473E-001                 -2.2065125114719253E-001                 -1.0769213488064471E+000                 -4.7338274483775727E+001                  7.4454448131916742E-012                                        0                                        0                  3.9050000000000001E-002 
                                      12                  3.9580502241279990E+006                  9.9999989556419056E-001                 -1.3589418365474247E+001                  5.8709937065238726E+000                                      813                  5.9465303557751065E-002                  5.9190457756494452E-002                  7.8129688607653236E-008                  9.9999999996243749E-001                  9.6828184757293345E-001                  5.9190457756494452E-002                  7.8129688607653236E-008                  9.9999999996243749E-001                  9.6828184757293345E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7021529303967997E-001                 -4.7399093663016231E+001                 -9.8999999999999986E+001                 -1.7021529303967997E-001                  3.7432465028112669E+000                  6.5719290596714941E-001                 -1.8230713317968691E-001                 -5.4387735759751039E-002                  4.5466647795767292E+000                  3.5209899022982128E+004                  1.6220115701104162E-004                  2.1415153609868295E-001                  7.1327083541921397E+000                  1.8862718526521400E+000                  1.7148133739838872E+001                  6.2038310379397843E-001                  8.4963164395585911E-001                  6.9925455008345905E-001                  2.8053765949976089E-001                  2.6172487132670699E-003                  9.3376248285831562E-003                  3.4416106108119951E-003                  9.3376729792512998E-003                  6.9987411134144240E-001                  2.8003321860870561E-001                 -2.2199801439761760E-001                 -1.1194488640029596E+000                 -4.7399093663016231E+001                  1.0266683560057114E-011                                        0                                        0                  4.8766666666666666E-002 
                                      15                  7.2035107872931827E+006                  9.9999981185279252E-001                 -1.3587362487820730E+001                  6.1085374446667471E+000                                      811                  5.2526821848868879E-002                  5.2471095006376478E-002                  7.8129695046946779E-008                  9.9999999996243749E-001                  9.6793710525215348E-001                  5.2471095006376478E-002                  7.8129695046946779E-008                  9.9999999996243749E-001                  9.6793710525215348E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7410337369948137E-001                 -4.7456336670643232E+001                 -9.8999999999999986E+001                 -1.7410337369948137E-001                  3.7432546304869430E+000                  6.6177232687881482E-001                 -1.7929139754955140E-001                 -5.2896123296035491E-002                  4.5436815182938943E+000                  3.4968863538181366E+004                  1.6103301744796185E-004                  2.1370726340922935E-001                  7.1315618741380389E+000                  1.8874861155491056E+000                  1.7148156203575276E+001                  6.2047568575905787E-001                  8.4953952037440505E-001                  6.9907046134786777E-001                  2.8068414644680451E-001                  2.3887740995339464E-003                  9.3376085742675231E-003                  3.4416106108119946E-003                  9.3376729792512964E-003                  6.9984776644096114E-001                  2.8004955488018340E-001                 -2.1982442318284795E-001                 -1.1744314810659475E+000                 -4.7456336670643232E+001                  9.1250367753890368E-012                                        0                                        0                  5.8716666666666667E-002 
                                      18                  1.2811666640442617E+007                  9.9999966520151473E-001                 -1.3580444559057700E+001                  6.3460811828096215E+000                                      808                  4.4205790031008087E-002                  4.3338517453990533E-002                  7.8129706593266235E-008                  9.9999999996243749E-001                  9.6799093176499551E-001                  4.3338517453990533E-002                  7.8129706593266235E-008                  9.9999999996243749E-001                  9.6799093176499551E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7400099495846846E-001                 -4.7489599711712742E+001                 -9.8999999999999986E+001                 -1.7400099495846846E-001                  3.7436429476935067E+000                  6.6965241124389263E-001                 -1.7415056304460053E-001                 -5.1102340456687170E-002                  4.5400938889253402E+000                  3.4681181863848862E+004                  1.5994445838842230E-004                  2.1358175771670390E-001                  7.1308139838519375E+000                  1.8901709516230987E+000                  1.7150010651767587E+001                  6.2063742771079244E-001                  8.4937765203528137E-001                  6.9874723677789075E-001                  2.8094728991172457E-001                  2.0190468327798707E-003                  9.3375783241961049E-003                  3.4416106108119938E-003                  9.3376729792512964E-003                  6.9980363366516107E-001                  2.8007884215628071E-001                 -2.1255900861626181E-001                 -1.2448070321124327E+000                 -4.7489599711712742E+001                  5.6432451109704306E-012                                        0                                        0                  7.0616666666666675E-002 
                                      21                  2.2502559954684839E+007                  9.9999940812861343E-001                 -1.3574775797099054E+001                  6.5836249209524960E+000                                      803                  3.5104875623923538E-002                  3.3505437736707888E-002                  7.8129726244213771E-008                  9.9999999996243749E-001                  9.6821664335473612E-001                  3.3505437736707888E-002                  7.8129726244213771E-008                  9.9999999996243749E-001                  9.6821664335473612E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7167453330303806E-001                 -4.7501206515119435E+001                 -9.8999999999999986E+001                 -1.7167453330303828E-001                  3.7440802508378752E+000                  6.7589118392684078E-001                 -1.7012321829521887E-001                 -4.9963274370733085E-002                  4.5378156451080383E+000                  3.4499725938659503E+004                  1.5937967482400968E-004                  2.1366659168065358E-001                  7.1303977477472174E+000                  1.8946993003135835E+000                  1.7153971880401130E+001                  6.2091946748614180E-001                  8.4909385357838696E-001                  6.9818051025338246E-001                  2.8142507739762812E-001                  1.4697015053025443E-003                  9.3375195391355494E-003                  3.4416106108119951E-003                  9.3376729792512981E-003                  6.9972945739220960E-001                  2.8013188234369590E-001                 -2.0166591473676157E-001                 -1.3473717711455351E+000                 -4.7501206515119435E+001                  3.3851003769729049E-012                                        0                                        0                  8.1566666666666662E-002 
                                      24                  3.9248423601695396E+007                  9.9999895870987709E-001                 -1.3569766294010135E+001                  6.8211686590953704E+000                                      799                  2.3104102886644648E-002                  9.9999999996243749E-001                  9.6856633077052312E-001                  2.2237859312416841E-002                  7.8129761216239046E-008                  9.9999999996243749E-001                  9.6856633077052312E-001                  2.2237859312416841E-002                  7.8129761216239046E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.6749412282057322E-001                 -4.7500193684006305E+001                 -9.8999999999999986E+001                 -1.6749412282057330E-001                  3.7446328217891778E+000                  6.8231028862202092E-001                 -1.6601807990273926E-001                 -4.9015847077098877E-002                  4.5359205953405333E+000                  3.4349513888604524E+004                  1.5903698143404342E-004                  2.1390611837842727E-001                  7.1301001160584381E+000                  1.9014210887883285E+000                  1.7160118004510917E+001                  6.2141470514763975E-001                  8.4859223338813394E-001                  6.9717858460141902E-001                  2.8231663037218929E-001                  7.8370655876852831E-004                  9.3373945146639614E-003                  3.4416106108119946E-003                  9.3376729792512981E-003                  6.9960423973422337E-001                  2.8022837314569776E-001                 -1.8814662621000305E-001                 -1.5005910631369166E+000                 -4.7500193684006305E+001                  2.2104542356239727E-012                                        0                                        0                  9.7466666666666660E-002 
