                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      9.4999999999999996E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups                          runtime_minutes 
                                       1                  1.0000000000000000E+005                  9.4999999999999996E-001                 -9.8999999999999986E+001                  5.0000000000000000E+000                                     1534                  1.1369824876152995E-001                  1.1827441039793496E-001                  7.8129685049395396E-008                  9.9999999996478106E-001                  9.6138676549903057E-001                  1.1827441039793496E-001                  7.8129685049395396E-008                  9.9999999996478106E-001                  9.6138676549903057E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8921111597067716E-001                 -4.7992858291939129E+001                 -1.5653559774527022E+001                 -1.8921111597067700E-001                  3.7366131813715779E+000                  5.7454273781938203E-001                 -2.4067766043299946E-001                 -7.0306356507029252E-002                  4.5562256717160317E+000                  3.5993631967873655E+004                  1.6780611194023949E-004                  2.1514368887060034E-001                  7.1212982079948359E+000                  1.8881998461877847E+000                  1.7138850618126931E+001                  6.2025644424648707E-001                  8.4978027541500534E-001                  6.9953567359283619E-001                  2.8029119573338779E-001                  3.1157397541949293E-003                  9.3376557908152538E-003                  3.4416106108119907E-003                  9.3376729792513137E-003                  6.6491152292135958E-001                  2.6601133459134763E-001                 -2.2582348774958130E-001                 -1.2815451513504328E+000                 -4.7992858291939129E+001                 -6.5741098615306659E-011                                        0                                        0                  1.0950000000000000E-002 
                                      10                  2.5958682111999993E+006                  9.4999999999999996E-001                 -9.8999999999999986E+001                  5.7126312144286233E+000                                      818                  7.4231031364293806E-002                  7.6065156707420756E-002                  7.8129682944959098E-008                  9.9999999995775002E-001                  9.5962525997055825E-001                  7.6065156707420756E-002                  7.8129682944959098E-008                  9.9999999995775002E-001                  9.5962525997055825E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.7907507015201188E-001                 -4.8116542635829695E+001                 -9.8999999999999986E+001                 -2.7907507015201216E-001                  3.7299814346703539E+000                  5.1758396507933935E-001                 -2.8601918671615501E-001                 -7.9713626246159033E-002                  4.5750402111942909E+000                  3.7587220457070704E+004                  1.7136132260111737E-004                  2.1267740036129071E-001                  7.1191440224688778E+000                  1.8840733522130624E+000                  1.7132513424675594E+001                  6.2030336508358641E-001                  8.4972962559905851E-001                  6.9944273176765137E-001                  2.8039386939929101E-001                  3.0236867791998052E-003                  9.3376511260724084E-003                  3.4416106108119946E-003                  9.3376729792512981E-003                  6.6489497680844278E-001                  2.6602215850602573E-001                 -3.1850961401810157E-001                 -1.3405506455553071E+000                 -4.8116542635829695E+001                 -3.9646339060932851E-012                                        0                                        0                  4.2250000000000003E-002 
                                      20                  1.8668799962237366E+007                  9.4999999999999996E-001                 -9.8999999999999986E+001                  6.5044436749048709E+000                                      800                  3.6556442275597630E-002                  9.9999999995775002E-001                  9.5904988572056404E-001                  3.8340640632346878E-002                  7.8129682944959098E-008                  9.9999999995775002E-001                  9.5904988572056404E-001                  3.8340640632346878E-002                  7.8129682944959098E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.7347779007996043E-001                 -4.8269008973624466E+001                 -1.5954589770191003E+001                 -2.7347779007996037E-001                  3.7304947754039217E+000                  5.2965055093024016E-001                 -2.7601057163792175E-001                 -7.5736000174178475E-002                  4.5670849590503293E+000                  3.6904978703697598E+004                  1.6836738936348549E-004                  2.1185190299509857E-001                  7.1159100073872343E+000                  1.8927984706362266E+000                  1.7137852929571991E+001                  6.2068114919894191E-001                  8.4934764143560737E-001                  6.9868246657598587E-001                  2.8104923625904893E-001                  2.3276093304909224E-003                  9.3376097620784752E-003                  3.4416106108119946E-003                  9.3376729792512981E-003                  6.6479071036623749E-001                  2.6608747928925103E-001                 -3.0073429769220317E-001                 -1.4893488725432811E+000                 -4.8269008973624466E+001                  4.5947545712262696E-013                                        0                                        0                  7.7783333333333329E-002 
                                      30                  1.1818815689988479E+008                  9.4999999999999996E-001                 -9.8999999999999986E+001                  7.2962561353811193E+000                                      791                  5.6715986109314095E-003                  9.9999999995775002E-001                  9.5906894607838944E-001                  5.6344400898279412E-003                  7.8129682944959098E-008                  9.9999999995775002E-001                  9.5906894607838944E-001                  5.6344400898279412E-003                  7.8129682944959098E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.6620316916130504E-001                 -4.8376726200956853E+001                 -9.8999999999999986E+001                 -2.6620316916130504E-001                  3.7313262240898597E+000                  5.4174576024870269E-001                 -2.6620447882272336E-001                 -7.2495851138455275E-002                  4.5606046609788837E+000                  3.6358391437102910E+004                  1.6623259921723821E-004                  2.1151960924607643E-001                  7.1128425249123302E+000                  1.9066305479309742E+000                  1.7147000881626727E+001                  6.2323236222893841E-001                  8.4674354624801185E-001                  6.9347871053662569E-001                  2.8591889892055977E-001                  2.4291053324512147E-004                  9.3371824484771611E-003                  3.4416106108119946E-003                  9.3376729792512981E-003                  6.6420768497164218E-001                  2.6655534216353266E-001                 -2.7502015286779552E-001                 -1.9630684757299899E+000                 -4.8376726200956853E+001                  9.5354475289755452E-014                                        0                                        0                  1.1965000000000001E-001 
                                      40                  7.3438578398454213E+008                  9.4999999999999996E-001                 -9.8999999999999986E+001                  8.0880685958573668E+000                                      783                  0.0000000000000000E+000                  9.9999999995775002E-001                  9.5962125384857944E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999995775002E-001                  9.5962125384857944E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.4884761974736780E-001                 -4.7974757342116355E+001                 -9.8999999999999986E+001                 -2.4884761974736797E-001                  3.7330460882945316E+000                  5.6375999774504626E-001                 -2.4890574324789960E-001                 -6.7286211760387044E-002                  4.5501853822227467E+000                  3.5496487661836421E+004                  1.6311718936255041E-004                  2.1132386955941077E-001                  7.1170427559591758E+000                  1.9328958356099741E+000                  1.7165375920876063E+001                  6.4121584193727066E-001                  8.2886300862117435E-001                  6.5772233716198003E-001                  3.2165189285912860E-001                  1.3910417001843323E-005                  9.3317295454746242E-003                  3.4416106108119946E-003                  9.3376729792512981E-003                  6.6075098058825643E-001                  2.6975424271513027E-001                 -2.5116987506078092E-001                 -2.5218825760721355E+000                 -4.7974757342116355E+001                  4.0351996304348343E-014                                        0                                        0                  1.5839999999999999E-001 
                                      50                  4.5497190750010672E+009                  9.4999999999999996E-001                 -9.8999999999999986E+001                  8.8798810563336144E+000                                      785                  0.0000000000000000E+000                  9.9999999995150002E-001                  9.6336550655759889E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999995150002E-001                  9.6336550655759889E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5349662055683264E-001                 -4.4953864109349063E+001                 -9.8999999999999986E+001                 -1.5349662055683264E-001                  3.7421923588910078E+000                  7.0217985024607776E-001                 -1.5355163720689263E-001                 -3.7901699932835237E-002                  4.4914163585676432E+000                  3.1003902221786921E+004                  1.4769340745569715E-004                  2.1178057753540885E-001                  7.1580797031610137E+000                  2.1056783378950477E+000                  1.7291488842410580E+001                  7.8612115157020890E-001                  7.1286538516389297E-001                  4.2573938779349990E-001                  5.5369084456910067E-001                  1.7257812362265714E-005                  9.1833151133318847E-003                  3.4416106108119946E-003                  9.3376729792512981E-003                  6.3700728282038521E-001                  2.9307958654372618E-001                 -1.5561854231340180E-001                 -2.4656120950064992E+000                 -4.4953864109349063E+001                  5.4571712358888731E-014                                        0                                        0                  2.0701666666666665E-001 
                                      52                  6.1877979420014515E+009                  9.4999999999999996E-001                 -9.8999999999999986E+001                  8.8621522893731832E+000                                      787                  0.0000000000000000E+000                  9.9999999995150002E-001                  9.6541661104160370E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999995150002E-001                  9.6541661104160370E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.0541491347321116E-001                 -4.3404806143342043E+001                 -9.8999999999999986E+001                 -1.0541491347321147E-001                  3.7458005737908309E+000                  7.8436008156920922E-001                 -1.0548451698712027E-001                 -2.1084569622596475E-002                  4.4577820979471658E+000                  2.8693405635498824E+004                  1.3920067145632362E-004                  2.1153932196341471E-001                  7.1815724575520985E+000                  2.2029887698748847E+000                  1.7364568377296575E+001                  8.7797183991589167E-001                  6.5891850605871161E-001                  3.1784886098104764E-001                  6.6163049843902511E-001                  2.0193227283548225E-005                  8.8717660899838274E-003                  3.4416106108119946E-003                  9.3376729792512981E-003                  6.2488262534940209E-001                  3.0514360721492773E-001                 -1.0975455586362115E-001                 -2.1079132963468639E+000                 -4.3404806143342043E+001                  6.8346446672951682E-014                                        0                                        0                  2.1638333333333334E-001 
                                      60                  8.9091073739320278E+009                  9.4999999999999996E-001                 -9.8999999999999986E+001                  8.1614909604634995E+000                                      791                  0.0000000000000000E+000                  9.9999999994212518E-001                  9.6818573602553371E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999994212518E-001                  9.6818573602553371E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5006586751802909E-002                 -4.0273270140957109E+001                 -9.8999999999999986E+001                 -1.5006586751802959E-002                  3.7502260527405098E+000                  9.6575107603421495E-001                 -1.5134799294494319E-002                  1.5239331324359234E-002                  4.3851342960532547E+000                  2.4273605871185828E+004                  1.2125687971236221E-004                  2.0890052595419112E-001                  7.2322652234225373E+000                  2.4155821055700315E+000                  1.7526686560166389E+001                  1.1203483522133804E+000                  5.6139524537451413E-001                  1.2280502976106249E-001                  8.5694232206245613E-001                  3.3538678543522453E-005                  6.8101843592515785E-003                  3.4416106108119946E-003                  9.3376729792512981E-003                  6.0153933350187738E-001                  3.2843299218057359E-001                 -4.0408443065353607E-002                 -1.2605644665060358E+000                 -4.0273270140957109E+001                  1.0648229480200544E-013                                        0                                        0                  2.5495000000000001E-001 
                                      70                  9.4510011134483509E+009                  9.4999999999999996E-001                 -9.8999999999999986E+001                  7.2981916649023884E+000                                      802                  0.0000000000000000E+000                  9.9999999994212518E-001                  9.6810110407034722E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999994212518E-001                  9.6810110407034722E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2206232840082897E-003                 -3.9507796796843600E+001                 -9.8999999999999986E+001                  4.2206232840081943E-003                  3.7506418874486824E+000                  1.0093924602083750E+000                  4.0600563892194555E-003                  2.4005089749871238E-002                  4.3676027792022305E+000                  2.3313247763326308E+004                  1.1696765073310086E-004                  2.0770486406290206E-001                  7.2451149030667494E+000                  2.4685278919326223E+000                  1.7566273387449346E+001                  1.1915804338085016E+000                  5.3998157794203494E-001                  7.9977828911675888E-002                  8.9987362877623900E-001                  3.8928027810843008E-005                  5.9877396168323913E-003                  3.4416106108119942E-003                  9.3376729792513085E-003                  5.9630735649154920E-001                  3.3365736103491644E-001                 -3.4825122289662051E-002                 -1.0613665817477547E+000                 -3.9507796796843600E+001                  1.1674684192509440E-013                                        0                                        0                  3.0428333333333335E-001 
